enrollment_measure,match_key_name,year_info,student_rows,students,cod_sies,rows_matched_observed_income,rows_matched_missing_income,rows_no_mifuturo_key,rows_missing_key_component,rows_mifuturo_duplicate_key,share_rows_observed_income,share_rows_any_mifuturo_match,cod_sies_observed_income,cod_sies_any_mifuturo_match,cod_sies_missing_area,cod_sies_program_info_found
first_ingreso,inst_type_generic_title,2024,312680,312680,7535,94767,20061,197852,0,0,0.303079826020212,0.367238070871178,1526,1993,0,7535
first_ingreso,inst_type_generic_title,2025,311720,311720,7296,89579,18344,179567,24230,0,0.28737007570897,0.346217759527781,1426,1845,763,6533
first_ingreso,inst_type_generic_title,2023,325293,325293,7632,98177,20613,206503,0,0,0.301810982714045,0.365178469871777,1538,2015,0,7632
first_ingreso,inst_type_generic_title,2022,317040,317040,7335,92419,18914,205707,0,0,0.291505803684078,0.351163890991673,1524,1986,0,7335
last_ingreso,inst_type_generic_title,2024,328255,328255,7552,98586,20452,209217,0,0,0.300333582123654,0.362638802150767,1525,1994,0,7552
last_ingreso,inst_type_generic_title,2025,360638,360638,7369,101569,20930,209462,28677,0,0.281636987782763,0.339673023918722,1426,1845,767,6602
last_ingreso,inst_type_generic_title,2023,306867,306867,7636,91744,18804,196319,0,0,0.298969912046587,0.360247273248671,1541,2018,0,7636
last_ingreso,inst_type_generic_title,2022,270973,270973,7318,78250,15520,177203,0,0,0.288774158310976,0.346049237377894,1522,1984,0,7318
first_ingreso,inst_type_generic,2024,312680,312680,7535,132466,25556,154658,0,0,0.423647179224767,0.505379301522323,2463,3097,0,7535
first_ingreso,inst_type_generic,2025,311720,311720,7296,125682,22860,138948,24230,0,0.403188759142821,0.47652380341332,2300,2860,763,6533
first_ingreso,inst_type_generic,2023,325293,325293,7632,135047,25898,164348,0,0,0.415154952611953,0.494769331033868,2441,3085,0,7632
first_ingreso,inst_type_generic,2022,317040,317040,7335,131649,25100,160291,0,0,0.4152441332324,0.494413954075196,2535,3222,0,7335
last_ingreso,inst_type_generic,2024,328255,328255,7552,138674,26113,163468,0,0,0.422458149913939,0.502009108772144,2462,3098,0,7552
last_ingreso,inst_type_generic,2025,360638,360638,7369,143378,26299,162284,28677,0,0.397567644008674,0.470491185066466,2301,2861,767,6602
last_ingreso,inst_type_generic,2023,306867,306867,7636,127160,23665,156042,0,0,0.414381474710542,0.491499574734331,2444,3088,0,7636
last_ingreso,inst_type_generic,2022,270973,270973,7318,112530,20796,137647,0,0,0.415281227280947,0.492026880906954,2533,3219,0,7318
